model,rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5_Diagnostic,Top5_Direction_Acc,total_return,final_capital,sharpe_proxy,max_drawdown,avg_period_return,promote
Hybrid baseline,28585,317,95,0.09039830310078917,0.0870561862806568,0.45874864545070726,0.4753537368147198,0.5247157600139933,0.5247349908838748,0.513765961168445,0.5311615708468492,0.5180902383654937,0.01646724770336856,-0.0009052256531598645,0.017372473356528424,0.5829652996845426,1.1835569018311962,218355690.18311962,2.1186549624828515,-0.22246574474391156,0.013240815942839608,False
A1 Multi-Head LongOnlyRank,28585,317,95,0.04187479538915675,0.04445420397921786,0.21848230934804982,0.23027072006415633,0.5189784852195207,0.5158722867293126,0.513765961168445,0.5731934442513036,0.4489861344874569,0.009171165907054066,0.0005522174338969165,0.008618948473157148,0.5507886435331231,0.4219573295165855,142195732.95165855,1.1504790387251052,-0.23344004934020302,0.0062642008615031945,False
