model,rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5,Top5_Direction_Acc,production_score
Hybrid xLSTM Direction-Excess Blend,29535,327,95,0.09038928857232963,0.08517127799373121,0.4652861991021736,0.4689918184297342,0.5264601320467243,0.5241119332857986,0.5183341797866937,0.5628555354128899,0.48345398138572904,0.017120114005389264,-0.000342339761255679,0.017462453766644945,0.5853211009174312,1.351888225684747
MultiKernel CNN-BiGRU attention,29535,327,95,0.014291159201442237,-0.0005604677764156608,0.0741653322437115,-0.0031443874094814576,0.4998814965295412,0.5016883191769029,0.5183341797866937,0.48394647660971946,0.514861891155122,0.009557097683372673,0.005166474477182725,0.004390623206189949,0.564525993883792,-0.6395036104539185
Hybrid xLSTM gated direction,29535,327,95,0.01978311315737665,0.027478609294563226,0.10476498420476221,0.1509920577564867,0.5052310817673946,0.5052499351266346,0.5183341797866937,0.5139854325340073,0.4961555701134366,0.005738173681164455,0.002266918041856193,0.0034712556393082616,0.5296636085626911,-0.712384615230829
