date,mode,equity,benchmark_equity,period_return_after_cost,benchmark_equal_weight_return,drawdown
2025-01-02,long-only,97176031.63103986,97396651.71590368,-0.028239683689601384,-0.02603348284096313,-0.02823968368960139
2025-01-09,long-only,99742591.16572866,97494560.1371416,0.026411446234330258,0.0010052544878392327,-0.002574088342713443
2025-01-16,long-only,97413713.25669171,98885389.47623481,-0.023348881173212856,0.014265712231911039,-0.02586286743308286
2025-01-23,long-only,104042486.85883449,100621821.59158957,0.0680476431965539,0.017560047288604556,0.0
2025-01-30,long-only,101207638.87188148,98876261.154126,-0.027247022562997224,-0.01734773242874256,-0.02724702256299727
2025-02-06,long-only,103746846.44643429,99434446.73662686,0.025089090140391363,0.005645294188771711,-0.0028415354277462335
2025-02-13,long-only,107764979.50630423,101316608.31889448,0.03873017057867437,0.01892866751954593,0.0
2025-02-20,long-only,108675380.5347489,101829137.62273331,0.008448023027660815,0.005058689906255536,0.0
2025-02-27,long-only,102531144.73784187,102330272.31414698,-0.05653751352582023,0.004921329033251086,-0.05653751352582015
2025-03-06,long-only,105800246.39179301,101421302.38874498,0.03188398668823787,-0.00888270796946106,-0.026456168166225646
2025-03-13,long-only,105600224.48307191,101935520.69727866,-0.0018905618421756394,0.00507012132976451,-0.028296712986376038
2025-03-20,long-only,108237348.8295709,101376331.44168055,0.024972715346090316,-0.0054857153990389785,-0.0040306433989244494
2025-03-27,long-only,101431904.50401644,93822952.84395647,-0.06287519418338879,-0.07450830475227209,-0.06665241009592193
2025-04-03,long-only,108962268.01809181,90965555.89313519,0.07424058091876991,-0.030455201677287002,0.0
2025-04-10,long-only,112855981.20664588,94191262.5508692,0.03573450937995851,0.03546074803877985,0.0
2025-04-17,long-only,118392046.3438452,95998453.31671631,0.049054246642563616,0.01918639496812258,0.0
2025-04-24,long-only,126104317.96188991,98509690.97057498,0.065141805182132,0.026159147018479822,0.0
2025-05-01,long-only,131298302.59332092,100416093.09947202,0.04118799986690938,0.019352432335479466,0.0
2025-05-08,long-only,134180105.06478311,103779692.63949458,0.021948512772386564,0.033496618282993586,0.0
2025-05-15,long-only,141968570.33140546,103132936.15183377,0.058044858907078875,-0.006232013905721202,0.0
2025-05-22,long-only,146994437.7403962,105985032.26803242,0.035401268021918925,0.02765456140994332,0.0
2025-05-29,long-only,145808926.01802117,106920648.59088562,-0.008065010762303324,0.008827815615388656,-0.00806501076230337
2025-06-05,long-only,143035606.56937084,106397748.05656208,-0.019020230958340358,-0.004890547721276404,-0.026931843353263263
2025-06-12,long-only,142735140.04473227,107662503.91318995,-0.0021006414545655643,0.01188705475190621,-0.028975910661233173
2025-06-19,long-only,138118116.8533567,108379492.02462417,-0.03234678713264754,0.006659589786359843,-0.06038542017974724
2025-06-26,long-only,139429551.55708346,110622993.45421544,0.009495023054210464,0.020700423924127083,-0.05146375808228154
2025-07-03,long-only,144744460.46800965,114231486.04132287,0.03811895578499534,0.03261973369578821,-0.015306547016154415
2025-07-10,long-only,152923702.3795771,117306377.87343328,0.05650815157361515,0.02691807608103844,0.0
2025-07-17,long-only,152761712.99941137,121110398.60736454,-0.001059282358752032,0.03242808108895488,-0.0010592823587519673
2025-07-24,long-only,167448397.98121217,122589418.66028768,0.09614113833521483,0.012212164024974175,0.0
2025-07-31,long-only,172387837.12849584,127773597.9442597,0.02949827652479471,0.04228896213577881,0.0
2025-08-07,long-only,180539430.38904002,133869004.52470207,0.04728635961983827,0.047704742439055786,0.0
2025-08-14,long-only,181438069.7373719,134001380.25794783,0.0049775240034568135,0.0009888452798744326,0.0
2025-08-21,long-only,180029272.71857366,133658628.78311244,-0.007764616438200939,-0.0025578204804726883,-0.007764616438200811
2025-08-28,long-only,169746522.61876634,130092498.92196015,-0.05711710070551461,-0.0266808801917237,-0.06443822476467509
2025-09-04,long-only,165400362.5320844,126000076.69468577,-0.025603823981967366,-0.03145778781395635,-0.08839218378205715
2025-09-11,long-only,169704204.923937,127207235.25081664,0.026020755492707683,0.009580617629749365,-0.06467145969100885
2025-09-18,long-only,172157297.23261446,127918247.20265837,0.014455106223071737,0.005589398672487638,-0.051151186287371586
2025-09-25,long-only,163994825.4177793,124935663.57013786,-0.047412871519504816,-0.0233163266206678,-0.09613883318336314
2025-10-02,long-only,171549294.2879321,128151968.28375357,0.04606528804130059,0.02574368776462375,-0.054502208184608714
2025-10-09,long-only,178410074.71287322,129471482.78472471,0.03999305536883087,0.010296482517143029,-0.01668886264542846
2025-10-16,long-only,166889624.1151734,124086399.10086355,-0.06457287020500613,-0.04159281695116658,-0.08018408508896224
2025-10-23,long-only,174259537.252231,126629652.22015089,0.04416040347703987,0.020495824987394922,-0.039564643161888124
2025-10-30,long-only,172039283.7114985,123591188.39991707,-0.01274107331938341,-0.02399488403356992,-0.05180162046189063
2025-11-06,long-only,173364262.68473047,123048163.68832491,0.007701607125114009,-0.004393717049107266,-0.04449896906601847
2025-11-13,long-only,181784890.27048054,123216227.7154571,0.04857187666793406,0.0013658393761802527,0.0
2025-11-20,long-only,191683900.06516787,123477934.79536696,0.05445452468551389,0.0021239660129363644,0.0
2025-11-27,long-only,193768161.2386707,125305843.12041622,0.010873428455880975,0.01480352200641006,0.0
2025-12-04,long-only,191504598.36478883,121761412.69950858,-0.011681810156074923,-0.028286234166283276,-0.011681810156074945
2025-12-11,long-only,184614971.7703367,119308476.94898364,-0.03597629849769131,-0.020145427817747714,-0.047237840364597994
2025-12-18,long-only,189425567.82210475,121062310.84149753,0.026057453551234882,0.0146999939766546,-0.022411284644524465
2025-12-25,long-only,203012128.8659461,120827687.3087191,0.07172506436196043,-0.001938039437274657,0.0
2026-01-02,long-only,214263990.91489437,122921896.26089774,0.0554245803529214,0.017332194291097093,0.0
2026-01-09,long-only,238539641.0039249,128191044.44284444,0.11329785273472681,0.042865822463095594,0.0
2026-01-16,long-only,233645809.15635782,126669181.62589884,-0.020515801176570748,-0.011871834132876085,-0.020515801176570703
2026-01-23,long-only,249453928.03317952,126557308.96075381,0.06765847388361576,-0.0008831877155046782,0.0
2026-01-30,long-only,246435192.6577953,123173635.37696296,-0.01210137438678742,-0.0267362952924367,-0.012101374386787378
2026-02-06,long-only,269550977.29125357,126107082.17597386,0.09380066371265924,0.023815541288793825,0.0
2026-02-13,long-only,276254565.00638837,129225520.42250687,0.0248694617341025,0.02472849417117938,0.0
2026-02-23,long-only,258977107.2195866,129205980.68442528,-0.06254180011976347,-0.00015120649557224663,-0.06254180011976351
2026-03-02,long-only,232705234.58575723,117106915.29897985,-0.10144476828816171,-0.09364168222983721,-0.15764202998645127
2026-03-09,long-only,221887615.0519654,121100691.16082703,-0.04648636096669023,0.034103672286567036,-0.1968001866436696
2026-03-16,long-only,214797387.46333686,113930737.75827678,-0.03195413852624449,-0.059206544023999316,-0.22246574474391156
