model,coverage_scope,rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5,Top5_Direction_Acc
BestF6-v2,full_test,29535,327,95,0.09038928857232963,0.08517127799373121,0.4652861991021736,0.4689918184297342,0.5264601320467243,0.5241119332857986,0.5183341797866937,0.5628555354128899,0.48345398138572904,0.017120114005389264,-0.000342339761255679,0.017462453766644945,0.5853211009174312
xLSTM-TS pure,full_test,29535,327,95,0.0587918019195163,0.05074810854265922,0.3025134760149417,0.31215211209407306,0.5360758422210936,0.5308563802180082,0.5183341797866937,0.6006877659264441,0.4465180158345452,0.013768730075322859,0.0029746466322824435,0.010794083443040416,0.5516819571865443
iTransformer pure,full_test,29535,327,95,0.019766338349483933,0.004706652023336448,0.0973328361227763,0.024295681225839295,0.5085153208058236,0.5061106384908396,0.5183341797866937,0.5466583385384136,0.46336414048059155,0.010673901403178811,0.0045853947550822,0.00608850664809661,0.5394495412844036
Kronos zero-shot,latest_only,95,2,95,0.04967227391820476,0.11515536836615013,,,0.6105263157894737,0.6771978021978022,0.9578947368421052,0.7482993197278911,0.13953488372093026,0.06140002429745173,0.07237200939175907,-0.010971985094307343,1.0
