score_bucket,avg_realized_return,direction_acc,avg_count
1,-0.00012010516627757553,0.47045686211197424,18.180981595092025
2,0.0026662532408801916,0.5013306151219502,18.12269938650307
3,0.004421550877548073,0.5203174693620856,17.99079754601227
4,0.006771276326443091,0.5449655053066325,18.12269938650307
5,0.012696901486984566,0.5706460605983864,18.17484662576687
