model_family,model_version,date,mode,top_k,long_symbols,long_realized_return,short_symbols,short_realized_return,gross_period_return,turnover,transaction_cost,period_return_after_cost,benchmark_equal_weight_return,equity,benchmark_equity,drawdown
BestF6-v2,direction_excess_blend_top5,2025-01-02,long-only,5,"BMP,STB,KSB,NVL,SAM",-0.02673968368960138,,,-0.026739683689601383,1.0,0.0015,-0.028239683689601384,-0.02603348284096313,97176031.63103986,97396651.71590368,-0.02823968368960139
BestF6-v2,direction_excess_blend_top5,2025-01-09,long-only,5,"APG,STB,VCG,KSB,BCM",0.02821144623433025,,,0.028211446234330258,1.2,0.0018,0.026411446234330258,0.0010052544878392327,99742591.16572866,97494560.1371416,-0.002574088342713443
BestF6-v2,direction_excess_blend_top5,2025-01-16,long-only,5,"APG,005930.KS,AAPL,2317.TW,NT2",-0.020948881173212853,,,-0.020948881173212856,1.5999999999999999,0.0024,-0.023348881173212856,0.014265712231911039,97413713.25669171,98885389.47623481,-0.02586286743308286
BestF6-v2,direction_excess_blend_top5,2025-01-23,long-only,5,"APG,PAN,LPB,SSB,SGT",0.0704476431965539,,,0.0704476431965539,1.5999999999999999,0.0024,0.0680476431965539,0.017560047288604556,104042486.85883449,100621821.59158957,0.0
BestF6-v2,direction_excess_blend_top5,2025-01-30,long-only,5,"QCOM,TSM,MSFT,GOOGL,AMD",-0.024247022562997222,,,-0.024247022562997225,1.9999999999999998,0.0029999999999999996,-0.027247022562997224,-0.01734773242874256,101207638.87188148,98876261.154126,-0.02724702256299727
BestF6-v2,direction_excess_blend_top5,2025-02-06,long-only,5,"2317.TW,GEX,SSB,LPB,FRT",0.02808909014039136,,,0.028089090140391362,1.9999999999999998,0.0029999999999999996,0.025089090140391363,0.005645294188771711,103746846.44643429,99434446.73662686,-0.0028415354277462335
BestF6-v2,direction_excess_blend_top5,2025-02-13,long-only,5,"2317.TW,NVL,OCB,CII,CTD",0.041130170578674366,,,0.041130170578674366,1.5999999999999999,0.0024,0.03873017057867437,0.01892866751954593,107764979.50630423,101316608.31889448,0.0
BestF6-v2,direction_excess_blend_top5,2025-02-20,long-only,5,"CTD,LPB,GEX,GEG,NT2",0.010848023027660813,,,0.010848023027660815,1.5999999999999999,0.0024,0.008448023027660815,0.005058689906255536,108675380.5347489,101829137.62273331,0.0
BestF6-v2,direction_excess_blend_top5,2025-02-27,long-only,5,"NVDA,TSM,2317.TW,INTC,005930.KS",-0.053537513525820236,,,-0.05353751352582023,1.9999999999999998,0.0029999999999999996,-0.05653751352582023,0.004921329033251086,102531144.73784187,102330272.31414698,-0.05653751352582015
BestF6-v2,direction_excess_blend_top5,2025-03-06,long-only,5,"PHR,NVDA,SAM,VHM,BCM",0.034283986688237865,,,0.03428398668823787,1.5999999999999999,0.0024,0.03188398668823787,-0.00888270796946106,105800246.39179301,101421302.38874498,-0.026456168166225646
BestF6-v2,direction_excess_blend_top5,2025-03-13,long-only,5,"AAPL,INTC,FTS,BSI,REE",0.0011094381578243607,,,0.0011094381578243603,1.9999999999999998,0.0029999999999999996,-0.0018905618421756394,0.00507012132976451,105600224.48307191,101935520.69727866,-0.028296712986376038
BestF6-v2,direction_excess_blend_top5,2025-03-20,long-only,5,"VIC,INTC,VHM,NVDA,BSI",0.026772715346090315,,,0.026772715346090315,1.2,0.0018,0.024972715346090316,-0.0054857153990389785,108237348.8295709,101376331.44168055,-0.0040306433989244494
BestF6-v2,direction_excess_blend_top5,2025-03-27,long-only,5,"VIC,NVDA,SHB,VHM,BCM",-0.06167519418338878,,,-0.06167519418338878,0.8,0.0012000000000000001,-0.06287519418338879,-0.07450830475227209,101431904.50401644,93822952.84395647,-0.06665241009592193
BestF6-v2,direction_excess_blend_top5,2025-04-03,long-only,5,"VIC,VGI,SHB,VCB,VHM",0.0754405809187699,,,0.07544058091876991,0.8,0.0012000000000000001,0.07424058091876991,-0.030455201677287002,108962268.01809181,90965555.89313519,0.0
BestF6-v2,direction_excess_blend_top5,2025-04-10,long-only,5,"2317.TW,AAPL,AGG,BMP,AMD",0.0387345093799585,,,0.03873450937995851,1.9999999999999998,0.0029999999999999996,0.03573450937995851,0.03546074803877985,112855981.20664588,94191262.5508692,0.0
BestF6-v2,direction_excess_blend_top5,2025-04-17,long-only,5,"2317.TW,AAPL,GMD,FPT,TSM",0.05085424664256362,,,0.05085424664256362,1.2,0.0018,0.049054246642563616,0.01918639496812258,118392046.3438452,95998453.31671631,0.0
BestF6-v2,direction_excess_blend_top5,2025-04-24,long-only,5,"GMD,PNJ,2317.TW,PHR,GEX",0.066941805182132,,,0.066941805182132,1.2,0.0018,0.065141805182132,0.026159147018479822,126104317.96188991,98509690.97057498,0.0
BestF6-v2,direction_excess_blend_top5,2025-05-01,long-only,5,"MSFT,INTC,QCOM,TSM,AMD",0.044187999866909376,,,0.04418799986690938,1.9999999999999998,0.0029999999999999996,0.04118799986690938,0.019352432335479466,131298302.59332092,100416093.09947202,0.0
BestF6-v2,direction_excess_blend_top5,2025-05-08,long-only,5,"GMD,VSC,GOOGL,MSFT,BWE",0.024348512772386567,,,0.024348512772386564,1.5999999999999999,0.0024,0.021948512772386564,0.033496618282993586,134180105.06478311,103779692.63949458,0.0
BestF6-v2,direction_excess_blend_top5,2025-05-15,long-only,5,"BWE,HAH,PHR,GEX,VPI",0.06044485890707887,,,0.060444858907078874,1.5999999999999999,0.0024,0.058044858907078875,-0.006232013905721202,141968570.33140546,103132936.15183377,0.0
BestF6-v2,direction_excess_blend_top5,2025-05-22,long-only,5,"GVR,PNJ,HSG,MSFT,KBC",0.03840126802191892,,,0.03840126802191893,1.9999999999999998,0.0029999999999999996,0.035401268021918925,0.02765456140994332,146994437.7403962,105985032.26803242,0.0
BestF6-v2,direction_excess_blend_top5,2025-05-29,long-only,5,"PET,VPI,HAH,GEX,PAN",-0.005065010762303324,,,-0.005065010762303325,1.9999999999999998,0.0029999999999999996,-0.008065010762303324,0.008827815615388656,145808926.01802117,106920648.59088562,-0.00806501076230337
BestF6-v2,direction_excess_blend_top5,2025-06-05,long-only,5,"VPI,NLG,AGG,PAN,GMD",-0.017220230958340355,,,-0.017220230958340358,1.2,0.0018,-0.019020230958340358,-0.004890547721276404,143035606.56937084,106397748.05656208,-0.026931843353263263
BestF6-v2,direction_excess_blend_top5,2025-06-12,long-only,5,"VIC,005930.KS,DIG,AGG,CTS",0.00029935854543443606,,,0.00029935854543443547,1.5999999999999999,0.0024,-0.0021006414545655643,0.01188705475190621,142735140.04473227,107662503.91318995,-0.028975910661233173
BestF6-v2,direction_excess_blend_top5,2025-06-19,long-only,5,"PLX,TDM,DPM,GAS,KSB",-0.029346787132647534,,,-0.029346787132647538,1.9999999999999998,0.0029999999999999996,-0.03234678713264754,0.006659589786359843,138118116.8533567,108379492.02462417,-0.06038542017974724
