date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-01-02,-0.02673968368960138,-0.005947936737920276,-0.005206696568192626,9940520.632620797,9947933.034318075,-0.0059479367379203785
2025-01-03,-0.03219093962580113,-0.007038187925160226,-0.0057790748102157785,9870557.38033448,9890443.185105734,-0.012944261966552073
2025-01-06,0.0024927198651629734,-0.0001014560269674054,-0.0029908880084605943,9869555.952798717,9860861.97718504,-0.013044404720128355
2025-01-07,-0.002190448604100714,-0.001038089720820143,-0.002215859613434132,9859310.468215058,9839011.691376148,-0.014068953178494215
2025-01-08,0.04491599647093201,0.008383199294186402,-0.00154243627591441,9941963.032773362,9823835.642824223,-0.005803696722663787
2025-01-09,0.02821144623433025,0.00504228924686605,0.00020105089756784655,9992093.286066255,9825810.733797772,-0.0007906713933745202
2025-01-10,-0.011492020006422576,-0.0028984040012845153,0.00461702917829326,9963132.162904711,9871176.788656102,-0.003686783709528907
2025-01-13,0.01210995166946025,0.00182199033389205,0.003846479578615175,9981284.893400813,9909146.06859057,-0.0018715106599187514
2025-01-14,0.02875504879062978,0.005151009758125956,0.005005703457464966,10032698.589285355,9958748.315326639,0.0
2025-01-15,-0.0076969604385348726,-0.002139392087706975,0.001520194398031048,10011234.71330509,9973887.548726998,-0.0021393920877069705
2025-01-16,-0.020948881173212853,-0.004789776234642571,0.002853142446382208,9963283.139195872,10002344.470647715,-0.00691892111297121
2025-01-17,-0.0059749840524389915,-0.0017949968104877985,0.00128367073054073,9945399.07773903,10015184.187481472,-0.008701498482129089
2025-01-20,0.0052969633071176855,0.0004593926614235371,0.0015916472238285452,9949967.921090273,10031124.82758961,-0.008246103225251433
2025-01-21,0.06644202915752495,0.012688405831504991,0.0037994169539710384,10076217.152083524,10069237.253326954,0.0
2025-01-22,0.08186311798234418,0.015772623596468836,0.00569275030025907,10235145.53249962,10126558.90672421,0.0
2025-01-23,0.0704476431965539,0.013489528639310782,0.0035120094577209115,10373212.821287788,10162123.477378795,0.0
2025-01-24,0.054672585076526524,0.010334517015305305,0.002787900958811514,10480414.96569277,10190454.47116494,0.0
2025-01-27,0.00457106485788541,0.00031421297157708194,-0.001150677894446464,10483708.048022501,10178728.540470608,0.0
2025-01-28,-0.014692899680969273,-0.003538579936193855,-0.002161591236739835,10446610.609066855,10156726.290056372,-0.0035385799361937753
2025-01-29,-0.0013142897834916845,-0.000862857956698337,-0.002543512308711235,10437596.667982291,10130892.531721404,-0.004398384601038918
2025-01-30,-0.024247022562997222,-0.005449404512599444,-0.003469546485748512,10380717.981599096,10095742.929140475,-0.009823820536745242
2025-01-31,-0.002183577629126243,-0.0010367155258252487,-0.003711359206651182,10369956.130098358,10058274.000672426,-0.010850351555297233
2025-02-03,0.04868095455454702,0.009136190910909404,0.0024204037956979518,10464698.02904069,10082619.085241823,-0.0018132915276476425
2025-02-04,0.0562439962665783,0.01064879925331566,0.000684408528400697,10576134.497598514,10089519.715732379,0.0
2025-02-05,0.012820125882064382,0.001964025176412877,-0.0001964550584827835,10596906.292020926,10087537.578546561,0.0
2025-02-06,0.02808909014039136,0.005017818028078273,0.0011290588377543423,10650079.639454884,10098927.0020008,0.0
2025-02-07,0.020499541502668573,0.0034999083005337146,0.0019198082254134167,10687353.941586358,10118315.005127091,0.0
2025-02-10,0.05977308026005881,0.011354616052011763,0.004245981878427392,10808704.742205026,10161277.18727908,0.0
2025-02-11,0.028088289708870385,0.005017657941774077,0.0034536844999020835,10862939.125395041,10196371.032799993,0.0
2025-02-12,0.04008926271379103,0.0074178525427582055,0.005515742999446041,10943518.80600818,10252611.594943915,0.0
2025-02-13,0.041130170578674366,0.007626034115734873,0.0037857335039091864,11026974.453768985,10291425.25016146,0.0
