date,mode,equity,benchmark_equity,period_return_after_cost,benchmark_equal_weight_return,drawdown
2025-01-02,long-only,9717603.163103987,9739665.171590367,-0.028239683689601384,-0.02603348284096313,-0.02823968368960139
2025-01-09,long-only,9974259.116572866,9749456.013714159,0.026411446234330258,0.0010052544878392327,-0.002574088342713332
2025-01-16,long-only,9741371.325669171,9888538.947623478,-0.023348881173212856,0.014265712231911039,-0.02586286743308286
2025-01-23,long-only,10404248.68588345,10062182.159158954,0.0680476431965539,0.017560047288604556,0.0
2025-01-30,long-only,10120763.887188148,9887626.115412598,-0.027247022562997224,-0.01734773242874256,-0.02724702256299738
2025-02-06,long-only,10374684.644643428,9943444.673662685,0.025089090140391363,0.005645294188771711,-0.0028415354277463445
2025-02-13,long-only,10776497.950630423,10131660.831889445,0.03873017057867437,0.01892866751954593,0.0
2025-02-20,long-only,10867538.053474888,10182913.762273328,0.008448023027660815,0.005058689906255536,0.0
2025-02-27,long-only,10253114.473784186,10233027.231414696,-0.05653751352582023,0.004921329033251086,-0.05653751352582015
2025-03-06,long-only,10580024.6391793,10142130.238874497,0.03188398668823787,-0.00888270796946106,-0.026456168166225646
2025-03-13,long-only,10560022.44830719,10193552.069727864,-0.0018905618421756394,0.00507012132976451,-0.028296712986376038
2025-03-20,long-only,10823734.88295709,10137633.144168053,0.024972715346090316,-0.0054857153990389785,-0.0040306433989244494
2025-03-27,long-only,10143190.450401643,9382295.284395644,-0.06287519418338879,-0.07450830475227209,-0.06665241009592193
2025-04-03,long-only,10896226.80180918,9096555.589313516,0.07424058091876991,-0.030455201677287002,0.0
2025-04-10,long-only,11285598.120664587,9419126.255086917,0.03573450937995851,0.03546074803877985,0.0
2025-04-17,long-only,11839204.63438452,9599845.33167163,0.049054246642563616,0.01918639496812258,0.0
2025-04-24,long-only,12610431.796188992,9850969.097057495,0.065141805182132,0.026159147018479822,0.0
2025-05-01,long-only,13129830.259332092,10041609.3099472,0.04118799986690938,0.019352432335479466,0.0
2025-05-08,long-only,13418010.506478311,10377969.263949458,0.021948512772386564,0.033496618282993586,0.0
2025-05-15,long-only,14196857.033140546,10313293.615183378,0.058044858907078875,-0.006232013905721202,0.0
2025-05-22,long-only,14699443.774039619,10598503.226803241,0.035401268021918925,0.02765456140994332,0.0
2025-05-29,long-only,14580892.601802116,10692064.859088562,-0.008065010762303324,0.008827815615388656,-0.00806501076230337
2025-06-05,long-only,14303560.656937083,10639774.805656208,-0.019020230958340358,-0.004890547721276404,-0.026931843353263263
2025-06-12,long-only,14273514.004473228,10766250.391318994,-0.0021006414545655643,0.01188705475190621,-0.028975910661233062
2025-06-19,long-only,13811811.68533567,10837949.202462416,-0.03234678713264754,0.006659589786359843,-0.06038542017974702
2025-06-26,long-only,13942955.155708347,11062299.345421543,0.009495023054210464,0.020700423924127083,-0.05146375808228143
2025-07-03,long-only,14474446.046800964,11423148.604132287,0.03811895578499534,0.03261973369578821,-0.015306547016154415
2025-07-10,long-only,15292370.237957709,11730637.787343327,0.05650815157361515,0.02691807608103844,0.0
2025-07-17,long-only,15276171.299941134,12111039.860736454,-0.001059282358752032,0.03242808108895488,-0.0010592823587521893
2025-07-24,long-only,16744839.798121214,12258941.866028767,0.09614113833521483,0.012212164024974175,0.0
2025-07-31,long-only,17238783.71284958,12777359.79442597,0.02949827652479471,0.04228896213577881,0.0
2025-08-07,long-only,18053943.038903996,13386900.452470208,0.04728635961983827,0.047704742439055786,0.0
2025-08-14,long-only,18143806.973737184,13400138.025794784,0.0049775240034568135,0.0009888452798744326,0.0
2025-08-21,long-only,18002927.27185736,13365862.878311245,-0.007764616438200939,-0.0025578204804726883,-0.007764616438201033
2025-08-28,long-only,16974652.261876628,13009249.892196016,-0.05711710070551461,-0.0266808801917237,-0.06443822476467509
2025-09-04,long-only,16540036.253208434,12600007.66946858,-0.025603823981967366,-0.03145778781395635,-0.08839218378205727
2025-09-11,long-only,16970420.49239369,12720723.525081666,0.026020755492707683,0.009580617629749365,-0.06467145969100907
2025-09-18,long-only,17215729.723261435,12791824.72026584,0.014455106223071737,0.005589398672487638,-0.05115118628737192
2025-09-25,long-only,16399482.54177792,12493566.357013788,-0.047412871519504816,-0.0233163266206678,-0.09613883318336336
2025-10-02,long-only,17154929.4287932,12815196.82837536,0.04606528804130059,0.02574368776462375,-0.05450220818460905
2025-10-09,long-only,17841007.47128731,12947148.278472474,0.03999305536883087,0.010296482517143029,-0.016688862645428792
2025-10-16,long-only,16688962.41151733,12408639.910086356,-0.06457287020500613,-0.04159281695116658,-0.08018408508896258
2025-10-23,long-only,17425953.72522309,12662965.22201509,0.04416040347703987,0.020495824987394922,-0.039564643161888347
2025-10-30,long-only,17203928.37114984,12359118.83999171,-0.01274107331938341,-0.02399488403356992,-0.05180162046189085
2025-11-06,long-only,17336426.26847304,12304816.368832495,0.007701607125114009,-0.004393717049107266,-0.04449896906601858
2025-11-13,long-only,18178489.027048048,12321622.771545714,0.04857187666793406,0.0013658393761802527,0.0
2025-11-20,long-only,19168390.00651678,12347793.479536701,0.05445452468551389,0.0021239660129363644,0.0
2025-11-27,long-only,19376816.123867065,12530584.31204163,0.010873428455880975,0.01480352200641006,0.0
2025-12-04,long-only,19150459.836478878,12176141.269950863,-0.011681810156074923,-0.028286234166283276,-0.011681810156074945
2025-12-11,long-only,18461497.177033663,11930847.694898369,-0.03597629849769131,-0.020145427817747714,-0.047237840364597994
2025-12-18,long-only,18942556.78221047,12106231.084149757,0.026057453551234882,0.0146999939766546,-0.022411284644524465
2025-12-25,long-only,20301212.886594605,12082768.730871914,0.07172506436196043,-0.001938039437274657,0.0
2026-01-02,long-only,21426399.09148943,12292189.62608978,0.0554245803529214,0.017332194291097093,0.0
2026-01-09,long-only,23853964.100392483,12819104.444284448,0.11329785273472681,0.042865822463095594,0.0
2026-01-16,long-only,23364580.915635776,12666918.162589889,-0.020515801176570748,-0.011871834132876085,-0.020515801176570703
2026-01-23,long-only,24945392.803317945,12655730.896075387,0.06765847388361576,-0.0008831877155046782,0.0
2026-01-30,long-only,24643519.265779525,12317363.5376963,-0.01210137438678742,-0.0267362952924367,-0.012101374386787267
2026-02-06,long-only,26955097.729125347,12610708.217597391,0.09380066371265924,0.023815541288793825,0.0
2026-02-13,long-only,27625456.500638824,12922552.042250693,0.0248694617341025,0.02472849417117938,0.0
2026-02-23,long-only,25897710.72195865,12920598.068442535,-0.06254180011976347,-0.00015120649557224663,-0.06254180011976351
2026-03-02,long-only,23270523.45857571,11710691.529897992,-0.10144476828816171,-0.09364168222983721,-0.15764202998645138
2026-03-09,long-only,22188761.505196527,12110069.11608271,-0.04648636096669023,0.034103672286567036,-0.1968001866436696
2026-03-16,long-only,21479738.746333674,11393073.775827684,-0.03195413852624449,-0.059206544023999316,-0.22246574474391156
2026-03-23,long-only,21835569.01831195,11991001.018291239,0.016565856604704426,0.05248164404343254,-0.20958522376609356
2026-03-30,long-only,22616129.461782087,11927337.577172088,0.03574719957219972,-0.005309268260592972,-0.1813301090152447
2026-04-06,long-only,23761799.988731332,12552858.86778391,0.05065723243604796,0.05244433525626187,-0.13985855805923597
