model,coverage_scope,rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5,Top5_Direction_Acc
Hybrid xLSTM Direction-Excess Blend,full_test,29535,327,95,0.09038928857232963,0.08517127799373121,0.4652861991021736,0.4689918184297342,0.5264601320467243,0.5241119332857986,0.5183341797866937,0.5628555354128899,0.48345398138572904,0.017120114005389264,-0.000342339761255679,0.017462453766644945,0.5853211009174312
LightGBM-style HGBR,full_test,29535,327,95,0.054475083299624014,0.03786098843996615,0.2527682086397295,0.18476278373437371,0.5052987980362282,0.4989451311144507,0.5183341797866937,0.5848322109510414,0.3880722033756335,0.012314532262484267,-0.0013191649217986908,0.013633697184282955,0.5541284403669724
CNN-LSTM,full_test,29535,327,95,0.052248161306028815,0.0433254979908714,0.265160505107757,0.21013899680711837,0.5179955984425259,0.5031767148821994,0.5183341797866937,0.6611766945925363,0.16523982643368126,0.012968669398221406,0.0002823179597556603,0.012686351438465747,0.5669724770642202
TCN,full_test,29535,327,95,0.021220553726290753,0.021600783397103317,0.11753035226548257,0.12051731688442144,0.48908075165058407,0.48889759744428557,0.5183341797866937,0.5005295908910367,0.47709473976020517,0.0072230684639989625,0.0029565799249754794,0.0042664885390234835,0.5467889908256881
PatchTST,full_test,29535,327,95,0.01850807085755116,0.014949610807322959,0.11179025330396976,0.09341588043228742,0.48576265447773825,0.4905502944695659,0.5183341797866937,0.4205265165967188,0.5377967133292758,0.006983428435230667,0.004415778862503792,0.002567649572726876,0.52782874617737
Kronos zero-shot,full_test,18978,327,61,0.006896891875498939,0.01890369420070661,0.031434567763606654,0.10103384284921386,0.5095373590473179,0.5108217547132662,0.5147539255980609,0.4951730122572947,0.5231068757044779,0.0035806250637881983,0.004844346366663079,-0.001263721302874879,0.5241590214067279
