month,Top5_Return,LongShort5,Top5_Direction_Acc,IC
2025-01-01,0.011368493607353225,0.01726277723336384,0.5363636363636364,0.1401822566830992
2025-02-01,0.01298292004017767,0.00398934533896894,0.74,0.035640675029450425
2025-03-01,-0.003946203825735921,0.007089789762572377,0.43809523809523815,0.1297348661370637
2025-04-01,0.033382203120250045,0.03312581258744395,0.7000000000000001,0.19404897635438403
2025-05-01,0.021350593727836226,0.004906170103632148,0.6181818181818182,0.05156993181418701
2025-06-01,-0.0037472183172892618,-0.015832035636785997,0.44761904761904764,-0.08438752820897262
2025-07-01,0.04481925025882909,0.02591729483243606,0.8347826086956521,0.14721798142284898
2025-08-01,0.031527430184401836,0.01395825110660893,0.6476190476190476,0.040765826902149756
2025-09-01,0.015823776952881473,0.020066916931371047,0.5545454545454546,0.050569097358928006
2025-10-01,0.01184774488528086,0.02448355757687869,0.5391304347826087,0.08302798320865272
2025-11-01,0.01836284143155071,0.02250925592024509,0.63,0.10955295722225337
2025-12-01,0.023919856200648636,0.034879668444720124,0.5478260869565217,0.11812673192668796
2026-01-01,0.022550261663936637,0.03083989852012044,0.5142857142857143,0.08787378969167389
2026-02-01,0.027120754120443485,0.04373065015600395,0.6,0.2639970304056576
2026-03-01,-0.019058725101879063,-0.0016694243535592137,0.3909090909090909,-0.008766134902233233
2026-04-01,0.04908818931130955,0.00190249800987397,0.76,0.11277845476552331
