model_family,model_version,mode,score_column,top_k,rebalance_every,periods,initial_capital,final_capital,total_profit,total_return,benchmark_final_capital,benchmark_total_profit,benchmark_total_return,excess_profit_vs_benchmark,excess_return_vs_benchmark,annualized_return_proxy,avg_period_return,period_volatility,sharpe_proxy,hit_rate,max_drawdown,best_period_return,worst_period_return,mean_daily_ic,mean_daily_rankic,icir,rankicir,topk_realized_return,bottomk_realized_return,long_short_spread,candidate
Hybrid xLSTM Direction-Excess Blend,baseline_current,long-only,y_pred,5,5,66,100000000.0,237617999.8873135,137617999.8873135,1.376179998873135,125528588.67783901,25528588.67783901,0.25528588677839004,112089411.20947447,1.1208941120947449,0.9365786038579618,0.014148737156817918,0.04400503538507354,2.282603991585022,0.6212121212121212,-0.22246574474391156,0.11329785273472681,-0.10144476828816171,0.0903892885306563,0.08517127799373121,0.4652861988013118,0.4689918184297342,0.017120114005389264,-0.000342339761255679,0.017462453766644945,baseline_current
Hybrid xLSTM Direction-Excess Blend,baseline_current,long-short,y_pred,5,5,66,100000000.0,279937889.099051,179937889.099051,1.7993788909905102,125528588.67783901,25528588.67783901,0.25528588677839004,154409300.421212,1.5440930042121201,1.194787905162383,0.0170677864012445,0.052820174178768185,2.2939959053278525,0.6212121212121212,-0.20998743507333661,0.1724185862581543,-0.13053395162713355,0.0903892885306563,0.08517127799373121,0.4652861988013118,0.4689918184297342,0.017120114005389264,-0.000342339761255679,0.017462453766644945,baseline_current
Rank-Aware Calibrated Hybrid xLSTM,valid_top5_excess_blend_v1,long-only,y_pred,5,5,66,100000000.0,239413214.87494406,139413214.87494406,1.3941321487494407,125528588.67783904,25528588.67783904,0.2552858867783905,113884626.19710502,1.1388462619710502,0.9477413775863965,0.014203951858422024,0.0425580535597251,2.369423563372391,0.6212121212121212,-0.19290411732314028,0.11329785273472681,-0.10204476828816171,0.088608677959401,0.07918141768854167,0.45037922925072665,0.4290928376255213,0.017140349799260463,-0.0006343633713849167,0.017774713170645377,selected_upgrade
Rank-Aware Calibrated Hybrid xLSTM,valid_top5_excess_blend_v1,long-short,y_pred,5,5,66,100000000.0,282081725.4837057,182081725.4837057,1.8208172548370571,125528588.67783904,25528588.67783904,0.2552858867783905,156553136.80586666,1.5655313680586667,1.2076117160842266,0.016816630932126615,0.045213135656269846,2.6405210476996994,0.6363636363636364,-0.11095630442375648,0.1390096747517973,-0.06555459659887299,0.088608677959401,0.07918141768854167,0.45037922925072665,0.4290928376255213,0.017140349799260463,-0.0006343633713849167,0.017774713170645377,selected_upgrade
