rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5,Top5_Direction_Acc,candidate,month
1637.0,22.0,95.0,0.14018225669333312,0.12070376971152846,0.6801297881878411,0.6846059793700582,0.5192425167990226,0.5070435003677238,0.5583384239462431,0.5868766404199475,0.42512783053323594,0.011368493607353224,-0.005894283626010612,0.01726277723336384,0.5363636363636364,baseline_current,2025-01
1888.0,20.0,95.0,0.03564067553330584,0.09360012778458396,0.16598629952528515,0.5706631457416886,0.5550847457627118,0.5300782657104497,0.600635593220339,0.6385542168674699,0.42148760330578516,0.012982920040177672,0.008993574701208732,0.00398934533896894,0.74,baseline_current,2025-02
1994.0,21.0,95.0,0.1297348662592858,0.144065536948883,0.8443679975207178,1.0617532260593907,0.49047141424272817,0.530092944612851,0.6634904714142427,0.4624338624338625,0.5157292659675882,-0.00394620382573592,-0.011035993588308297,0.007089789762572377,0.43809523809523815,baseline_current,2025-03
1910.0,22.0,95.0,0.19404897560260562,0.20601678992124822,1.0777560542906814,1.1397152253357505,0.5565445026178011,0.5485207434357109,0.5837696335078534,0.6109324758842443,0.48447961046865484,0.03338220312025005,0.00025639053280609184,0.03312581258744395,0.7000000000000001,baseline_current,2025-04
1907.0,22.0,95.0,0.05156993102035432,0.01400436832752535,0.24844258922413512,0.08786191034489389,0.5332983744100682,0.5006492069083708,0.637650760356581,0.6285475792988312,0.3723554301833569,0.021350593727836223,0.016444423624204077,0.0049061701036321485,0.6181818181818183,baseline_current,2025-05
1985.0,21.0,95.0,-0.08438752859202617,-0.06305499295402632,-0.7119876117319108,-0.5027211779589624,0.5118387909319899,0.49412902795383284,0.5808564231738035,0.5895806861499364,0.39776258545680543,-0.003747218317289261,0.012084817319496736,-0.015832035636785997,0.4476190476190475,baseline_current,2025-06
2176.0,23.0,95.0,0.14721798159487964,0.16701261362383163,0.8739187447679047,1.042942798455136,0.6158088235294118,0.565625,0.7058823529411765,0.7164179104477613,0.4045584045584046,0.04481925025882909,0.018901955426393027,0.02591729483243606,0.8347826086956524,baseline_current,2025-07
1993.0,21.0,95.0,0.04076582697782813,0.04263981737344187,0.25423213491898966,0.2678197774543301,0.5082789764174611,0.498980747221238,0.5524335173105871,0.5690413368513632,0.42757009345794394,0.031527430184401836,0.017569179077792912,0.013958251106608924,0.6476190476190476,baseline_current,2025-08
1909.0,22.0,95.0,0.05056909816080521,0.032639297121952175,0.1853118642273469,0.10868986700338354,0.49449973808276587,0.5114459179107513,0.5845992666317443,0.5012919896640827,0.4875199150292088,0.015823776952881473,-0.004243139978489573,0.020066916931371047,0.5545454545454546,baseline_current,2025-09
2175.0,23.0,95.0,0.08302798339875629,0.06932202894128882,0.4967700516602266,0.39218566176733816,0.5222988505747126,0.5339865357183173,0.5531034482758621,0.5464862505456133,0.4953861097620203,0.01184774488528086,-0.012635812691597834,0.024483557576878697,0.5391304347826087,baseline_current,2025-10
1884.0,20.0,95.0,0.1095529573342388,0.06773082876858429,0.7140526831277605,0.4803696736357939,0.5159235668789809,0.5255427870639535,0.5435244161358811,0.5453639082751744,0.48240635641316687,0.018362841431550717,-0.004146414488694379,0.022509255920245094,0.6300000000000001,baseline_current,2025-11
